amount,venue,address,city,state,zip,type
" $994,990 ","Alaska Center for the Performing Arts, Inc. - SVOG",621 W 6th Avenue ,Anchorage,AK,99501,Live venue operator or promoter
" $8,578 ",Alaska Chamber Singers - SVOG,8240 Sandlewood Pl Ste 201,Anchorage,AK,99508,Live performing arts organization operator
" $7,285 ",Alaska Dance Promotions LLC - SVOG,"300 East Dimond Blvd., Suite 11A ",Anchorage,AK,99507,Live venue operator or promoter
" $141,632 ","Alaska Junior Theater, Inc. - SVOG",430 W. 7th Ave Ste 30 ,Anchorage,AK,99501,Live performing arts organization operator
" $74,058 ",Alaska Native Heritage Center - SVOG,8800 Heritage Center Drive ,Anchorage,AK,99504,Museum Operator
" $74,835 ","Alaska Naturally, Incorporated - SVOG",4101 Patricia Lane,Anchorage,AK,99504,Motion picture theater operator
" $1,750,609 ",Anchorage Concert Association Inc. - SVOG,430 W. 7th Ave. Ste. 200 ,Anchorage,AK,99501,Live performing arts organization operator
" $558,884 ",Anchorage Museum Association - SVOG,625 C Street ,Anchorage,AK,99501,Museum Operator
" $81,297 ",Anchorage Opera Company - SVOG,1507 Spar Ave ,Anchorage,AK,99501,Live performing arts organization operator
" $180,842 ",Anchorage Symphony Orchestra - SVOG,"400 D Street, Suite 230 ",Anchorage,AK,99501,Live venue operator or promoter
" $44,385 ",Anchorage Youth Symphony Assoc. (dba: Alaska Youth Orchestras) - SVOG,1505 W. 32nd Ave. ,Anchorage,AK,99503,Live performing arts organization operator
" $81,255 ",Cyrano's Theatre Company - SVOG,3800 Debarr Road ,Anchorage,AK,99508,Live performing arts organization operator
" $1,015,623 ","Fish or Cut Bait, LLC - SVOG",609 F Street ,Anchorage,AK,99501,Live venue operator or promoter
" $26,930 ","Five Star Entertainment, Inc. - SVOG",4061 Westland Dr ,Anchorage,AK,99517,Talent representative
" $927,326 ",Happy Camp LLC - SVOG,2435 Spenard Road ,Anchorage,AK,99503,Live venue operator or promoter
" $34,112 ",Northern Culture Exchange - SVOG,"645 G Street, Suite 100-866 ",Anchorage,AK,99501,Live performing arts organization operator
" $114,416 ",Rodeo Alaska LLC - SVOG,2551 Lyvona Lane ,Anchorage,AK,99502,Live venue operator or promoter
" $96,008 ",Showdown LLC - SVOG,900 E 6th Ave ,Anchorage,AK,99501,Live venue operator or promoter
" $103,743 ","TBA Theatre, Inc. - SVOG",TBA Theatre 635 W 54th ave,Anchorage,AK,99518,Theatrical producer
" $58,155 ",University of Alaska Anchorage - SVOG,3211 Providence Drive ,Anchorage,AK,99508,Live venue operator or promoter
" $47,506 ",Bethel Council on the Arts - SVOG,PO Box 264 1350 Aurora,Bethel,AK,99559,Live venue operator or promoter
" $222,002 ",Chickenstock Music Festival Inc. - SVOG,Milepost 66 Taylor Highway POB 64,Chicken,AK,99732,Live venue operator or promoter
" $118,004 ",Perseverance Theatre Incorporated - SVOG,914 3rd St ,Douglas,AK,99824,Live performing arts organization operator
" $84,061 ",Fairbanks Concert Association - SVOG,P.O. Box 80547 ,Fairbanks,AK,99708,Live performing arts organization operator
" $10,700 ",Fairbanks Shakespeare Theatre - SVOG,P. O. Box 73447,Fairbanks,AK,99707,Live performing arts organization operator
" $747,883 ",University of Alaska Fairbanks - SVOG,PO Box 755140 ,Fairbanks,AK,99775,Museum Operator
" $85,452 ",American Bald Eagle Foundation - SVOG,"113 Haines Hwy, ",Haines,AK,99827,Museum Operator
" $169,859 ",Homer Theatre LLC - SVOG,106 W Pioneer ,Homer,AK,99603,Motion picture theater operator
" $31,386 ",Gold Town Theater - SVOG,171 Shattuck Way suite 109,Juneau,AK,99801,Motion picture theater operator
" $1,215,001 ","Gross-Alaska, Inc. - SVOG",222 FRONT STREET SUITE 600,Juneau,AK,99801,Motion picture theater operator
" $35,675 ","Juneau Symphony, Inc. - SVOG",PO BOX 21236 ,Juneau,AK,99802,Live performing arts organization operator
" $26,454 ","Alaska Children's Institute For the Performing Arts, Inc - SVOG",42715 Kenai Spur Hwy,Kenai,AK,99611,Theatrical producer
" $97,307 ","Kodiak Baranof Productions, Inc. - SVOG",722 Mill Bay Road Gerald C. Wilson Auditorium,Kodiak,AK,99615,Live performing arts organization operator
" $12,794 ",Kodiak Historical Society - SVOG,101 E Marine Way ,Kodiak,AK,99615,Museum Operator
" $167,182 ",ORPHEUM THEATRE - SVOG,102 CENTER AVE ,Kodiak,AK,99615,Motion picture theater operator
" $682,632 ","Alaska Arts Southeast, Inc. - SVOG",110 College Drive Suite 111,Sitka,AK,99835,Live performing arts organization operator
" $162,536 ","Gold Rush Productions, Inc. - SVOG",PO Box 215,Skagway,AK,99840,Theatrical producer
" $315,685 ","360 Entertainment, LLC - SVOG",PO Box 3610 35493 KB Dr,Soldotna,AK,99669,Motion picture theater operator
" $28,801 ",Denali Arts Council - SVOG,22249 S D Street ,Talkeetna,AK,99676,Live venue operator or promoter
" $186,650 ",Valley Performing Arts - SVOG,251 West Swanson Avenue ,Wasilla,AK,99654,Live venue operator or promoter
" $42,528 ","enJOY entertainment, LLC - SVOG",142 Park Place Cir ,Alabaster,AL,35007,Live venue operator or promoter
" $182,387 ",City of Anniston - Anniston Museums and Gardens - SVOG,4309 McClellan Blvd ,Anniston,AL,36206,Museum Operator
" $326,122 ",Cinemagic Theatre LLC - SVOG,1702 S Jefferson Street,Athens,AL,35611,Motion picture theater operator
" $630,221 ",Events at OWA LLC - SVOG,100 Brookwood Road ,Atmore,AL,36502,Live venue operator or promoter
" $26,405 ",FAGEL ONEAL EL - SVOG,1655 S. COLLEGE STREET D,Auburn,AL,36832,Live venue operator or promoter
" $1,969,329 ","Fourth Quarter, Inc. - SVOG",136 W Magnolia Ave ,Auburn,AL,36830,Live venue operator or promoter
" $904,140 ",Jay and Susie Gogue Performing Art Center at Auburn University - SVOG,910 South College Street ,Auburn,AL,36849,Live venue operator or promoter
" $89,326 ",Jule Collins Smith Museum of Fine Art at Auburn University - SVOG,901 South College ,Auburn,AL,36849,Museum Operator
" $33,441 ",Arlington Historic House - SVOG,331 Cotton Avenue SW,Birmingham,AL,35203,Museum Operator
" $683,057 ","Avondale Brewing Company, LLC - SVOG",201 41st Street South ,Birmingham,al,35222,Live venue operator or promoter
" $1,889,574 ",Barber Vintage Motorsports Museum - SVOG,6030 Barber Motorsports Parkway ,Birmingham,AL,35094,Museum Operator
" $284,349 ",Birmingham Children's Theatre - SVOG,PO Box 1362 ,Birmingham,AL,35201,Live performing arts organization operator
" $215,338 ",Birmingham Civil Rights Institute - SVOG,520 16th St North ,Birmingham,AL,35203,Museum Operator
" $17,646 ",Birmingham Festival Theatre - SVOG,P.O. Box 55321 ,Birmingham,AL,35205,Theatrical producer
" $1,142,823 ","Birmingham Landmarks, Inc. - SVOG",1817 3rd Avenue North ,Birmingham,AL,35203,Live performing arts organization operator
" $2,290,087 ","Birmingham Zoo, Inc. - SVOG",2630 Cahaba Road ,Birmingham,AL,35223,Museum Operator
" $337,229 ",Code-R Productions - SVOG,118 Overbrook Road ,Birmingham,AL,35213,Live venue operator or promoter
" $78,035 ",Definitive Productions LLC - SVOG,2201 1st Avenue North ,Birmingham,AL,35203,Talent representative
" $267,681 ",Empowerment Incorporated - SVOG,118 Huntingdon Place ,Birmingham,al,35242,Live venue operator or promoter
" $68,201 ",Fiesta 2003 - SVOG,3424 Water Oak Drive ,Birmingham,AL,35243,Live performing arts organization operator
" $1,675,105 ","Iron City Live, Inc. - SVOG",513 22nd Street South,Birmingham,AL,35233,Live venue operator or promoter
" $947,988 ","JROK, Inc. - SVOG",4 Dexter Avenue ,Birmingham,AL,35213,Live venue operator or promoter
" $1,358,938 ",McWane Science Center - SVOG,"200 19th Street, North",Birmingham,AL,35203,Museum Operator
" $271,925 ",Metropolitan Arts Center - SVOG,1116 South 26th Street ,Birmingham,AL,35205,Live venue operator or promoter
" $227,542 ",Mr Nick INC - SVOG,2514 10th Avenue South ,Birmingham,AL,35205,Live venue operator or promoter
" $133,192 ",Reaction Presents LLC - SVOG,1729 Cullum Street South Apt E,Birmingham,AL,35205,Live venue operator or promoter
" $643,503 ",Red Mountain Theatre Company Inc. - SVOG,1600 3rd Ave South ,Birmingham,AL,35233,Theatrical producer
" $597,626 ",Saturn Music LLC - SVOG,200 41st St. S. ,Birmingham,AL,35222,Live venue operator or promoter
