amount,venue,address,city,state,zip,type
994989.50,"Alaska Center for the Performing Arts, Inc. - SVOG",621 W 6th Avenue ,Anchorage,AK,99501,Live venue operator or promoter
8577.83,Alaska Chamber Singers - SVOG,8240 Sandlewood Pl Ste 201,Anchorage,AK,99508,Live performing arts organization operator
7284.72,Alaska Dance Promotions LLC - SVOG,"300 East Dimond Blvd., Suite 11A ",Anchorage,AK,99507,Live venue operator or promoter
141631.76,"Alaska Junior Theater, Inc. - SVOG",430 W. 7th Ave Ste 30 ,Anchorage,AK,99501,Live performing arts organization operator
74058.02,Alaska Native Heritage Center - SVOG,8800 Heritage Center Drive ,Anchorage,AK,99504,Museum Operator
74834.55,"Alaska Naturally, Incorporated - SVOG",4101 Patricia Lane,Anchorage,AK,99504,Motion picture theater operator
1750608.68,Anchorage Concert Association Inc. - SVOG,430 W. 7th Ave. Ste. 200 ,Anchorage,AK,99501,Live performing arts organization operator
558884.15,Anchorage Museum Association - SVOG,625 C Street ,Anchorage,AK,99501,Museum Operator
81297.43,Anchorage Opera Company - SVOG,1507 Spar Ave ,Anchorage,AK,99501,Live performing arts organization operator
180841.70,Anchorage Symphony Orchestra - SVOG,"400 D Street, Suite 230 ",Anchorage,AK,99501,Live venue operator or promoter
44385.40,Anchorage Youth Symphony Assoc. (dba: Alaska Youth Orchestras) - SVOG,1505 W. 32nd Ave. ,Anchorage,AK,99503,Live performing arts organization operator
81255.15,Cyrano's Theatre Company - SVOG,3800 Debarr Road ,Anchorage,AK,99508,Live performing arts organization operator
1015623.10,"Fish or Cut Bait, LLC - SVOG",609 F Street ,Anchorage,AK,99501,Live venue operator or promoter
26929.83,"Five Star Entertainment, Inc. - SVOG",4061 Westland Dr ,Anchorage,AK,99517,Talent representative
927325.80,Happy Camp LLC - SVOG,2435 Spenard Road ,Anchorage,AK,99503,Live venue operator or promoter
34111.83,Northern Culture Exchange - SVOG,"645 G Street, Suite 100-866 ",Anchorage,AK,99501,Live performing arts organization operator
114416.03,Rodeo Alaska LLC - SVOG,2551 Lyvona Lane ,Anchorage,AK,99502,Live venue operator or promoter
96007.91,Showdown LLC - SVOG,900 E 6th Ave ,Anchorage,AK,99501,Live venue operator or promoter
103743.00,"TBA Theatre, Inc. - SVOG",TBA Theatre 635 W 54th ave,Anchorage,AK,99518,Theatrical producer
58154.85,University of Alaska Anchorage - SVOG,3211 Providence Drive ,Anchorage,AK,99508,Live venue operator or promoter
47505.60,Bethel Council on the Arts - SVOG,PO Box 264 1350 Aurora,Bethel,AK,99559,Live venue operator or promoter
222001.80,Chickenstock Music Festival Inc. - SVOG,Milepost 66 Taylor Highway POB 64,Chicken,AK,99732,Live venue operator or promoter
118004.06,Perseverance Theatre Incorporated - SVOG,914 3rd St ,Douglas,AK,99824,Live performing arts organization operator
84061.32,Fairbanks Concert Association - SVOG,P.O. Box 80547 ,Fairbanks,AK,99708,Live performing arts organization operator
10700.13,Fairbanks Shakespeare Theatre - SVOG,P. O. Box 73447,Fairbanks,AK,99707,Live performing arts organization operator
747882.75,University of Alaska Fairbanks - SVOG,PO Box 755140 ,Fairbanks,AK,99775,Museum Operator
85452.05,American Bald Eagle Foundation - SVOG,"113 Haines Hwy, ",Haines,AK,99827,Museum Operator
169859.00,Homer Theatre LLC - SVOG,106 W Pioneer ,Homer,AK,99603,Motion picture theater operator
31385.70,Gold Town Theater - SVOG,171 Shattuck Way suite 109,Juneau,AK,99801,Motion picture theater operator
1215001.00,"Gross-Alaska, Inc. - SVOG",222 FRONT STREET SUITE 600,Juneau,AK,99801,Motion picture theater operator
35675.44,"Juneau Symphony, Inc. - SVOG",PO BOX 21236 ,Juneau,AK,99802,Live performing arts organization operator
26453.70,"Alaska Children's Institute For the Performing Arts, Inc - SVOG",42715 Kenai Spur Hwy,Kenai,AK,99611,Theatrical producer
97307.00,"Kodiak Baranof Productions, Inc. - SVOG",722 Mill Bay Road Gerald C. Wilson Auditorium,Kodiak,AK,99615,Live performing arts organization operator
12794.16,Kodiak Historical Society - SVOG,101 E Marine Way ,Kodiak,AK,99615,Museum Operator
167181.77,ORPHEUM THEATRE - SVOG,102 CENTER AVE ,Kodiak,AK,99615,Motion picture theater operator
682632.35,"Alaska Arts Southeast, Inc. - SVOG",110 College Drive Suite 111,Sitka,AK,99835,Live performing arts organization operator
162536.05,"Gold Rush Productions, Inc. - SVOG",PO Box 215,Skagway,AK,99840,Theatrical producer
315684.85,"360 Entertainment, LLC - SVOG",PO Box 3610 35493 KB Dr,Soldotna,AK,99669,Motion picture theater operator
28800.91,Denali Arts Council - SVOG,22249 S D Street ,Talkeetna,AK,99676,Live venue operator or promoter
186650.00,Valley Performing Arts - SVOG,251 West Swanson Avenue ,Wasilla,AK,99654,Live venue operator or promoter
42527.50,"enJOY entertainment, LLC - SVOG",142 Park Place Cir ,Alabaster,AL,35007,Live venue operator or promoter
182386.56,City of Anniston - Anniston Museums and Gardens - SVOG,4309 McClellan Blvd ,Anniston,AL,36206,Museum Operator
326121.50,Cinemagic Theatre LLC - SVOG,1702 S Jefferson Street,Athens,AL,35611,Motion picture theater operator
630221.14,Events at OWA LLC - SVOG,100 Brookwood Road ,Atmore,AL,36502,Live venue operator or promoter
26405.00,FAGEL ONEAL EL - SVOG,1655 S. COLLEGE STREET D,Auburn,AL,36832,Live venue operator or promoter
1969328.75,"Fourth Quarter, Inc. - SVOG",136 W Magnolia Ave ,Auburn,AL,36830,Live venue operator or promoter
904139.59,Jay and Susie Gogue Performing Art Center at Auburn University - SVOG,910 South College Street ,Auburn,AL,36849,Live venue operator or promoter
89326.35,Jule Collins Smith Museum of Fine Art at Auburn University - SVOG,901 South College ,Auburn,AL,36849,Museum Operator
33440.76,Arlington Historic House - SVOG,331 Cotton Avenue SW,Birmingham,AL,35203,Museum Operator
683056.90,"Avondale Brewing Company, LLC - SVOG",201 41st Street South ,Birmingham,al,35222,Live venue operator or promoter
1889573.75,Barber Vintage Motorsports Museum - SVOG,6030 Barber Motorsports Parkway ,Birmingham,AL,35094,Museum Operator
284349.02,Birmingham Children's Theatre - SVOG,PO Box 1362 ,Birmingham,AL,35201,Live performing arts organization operator
215338.24,Birmingham Civil Rights Institute - SVOG,520 16th St North ,Birmingham,AL,35203,Museum Operator
17646.02,Birmingham Festival Theatre - SVOG,P.O. Box 55321 ,Birmingham,AL,35205,Theatrical producer
1142822.90,"Birmingham Landmarks, Inc. - SVOG",1817 3rd Avenue North ,Birmingham,AL,35203,Live performing arts organization operator
2290087.29,"Birmingham Zoo, Inc. - SVOG",2630 Cahaba Road ,Birmingham,AL,35223,Museum Operator
337229.01,Code-R Productions - SVOG,118 Overbrook Road ,Birmingham,AL,35213,Live venue operator or promoter
78035.08,Definitive Productions LLC - SVOG,2201 1st Avenue North ,Birmingham,AL,35203,Talent representative
267680.70,Empowerment Incorporated - SVOG,118 Huntingdon Place ,Birmingham,al,35242,Live venue operator or promoter
68201.04,Fiesta 2003 - SVOG,3424 Water Oak Drive ,Birmingham,AL,35243,Live performing arts organization operator
1675104.90,"Iron City Live, Inc. - SVOG",513 22nd Street South,Birmingham,AL,35233,Live venue operator or promoter
947987.95,"JROK, Inc. - SVOG",4 Dexter Avenue ,Birmingham,AL,35213,Live venue operator or promoter
1358938.05,McWane Science Center - SVOG,"200 19th Street, North",Birmingham,AL,35203,Museum Operator
271925.14,Metropolitan Arts Center - SVOG,1116 South 26th Street ,Birmingham,AL,35205,Live venue operator or promoter
227541.98,Mr Nick INC - SVOG,2514 10th Avenue South ,Birmingham,AL,35205,Live venue operator or promoter
133192.22,Reaction Presents LLC - SVOG,1729 Cullum Street South Apt E,Birmingham,AL,35205,Live venue operator or promoter
643502.75,Red Mountain Theatre Company Inc. - SVOG,1600 3rd Ave South ,Birmingham,AL,35233,Theatrical producer
597625.99,Saturn Music LLC - SVOG,200 41st St. S. ,Birmingham,AL,35222,Live venue operator or promoter
297146.65,Sidewalk Film Center and Cinema - SVOG,1821 2nd Ave. N. ,Birmingham,AL,35203,Motion picture theater operator
272700.60,"State of Alabama Ballet, Inc - SVOG",2726 1st Ave South,Birmingham,AL,35233,Live performing arts organization operator
5400.00,Studio 2500 Incorporated - SVOG,2500 26th Avenue North ,Birmingham,AL,35234,Live performing arts organization operator
59221.51,Terrific New Theatre - SVOG,PO Box 130368 ,Birmingham,AL,35213,Live performing arts organization operator
1567490.55,"The Comedy Club, Inc - SVOG",1818 DATA DRIVE ,Birmingham,AL,35244,Live venue operator or promoter
789391.80,University of Alabama at Birmingham - SVOG,1200 10th Ave South ,Birmingham,AL,35205,Live venue operator or promoter
219872.15,"Williams Brothers Music Hall, LLC - SVOG",500 23rd street south ,Birmingham,AL,35233,Live venue operator or promoter
166000.00,Boaz9cinema LLC - SVOG,215 south mcclesky street ,Boaz,AL,35957,Motion picture theater operator
19994.40,David Clark - SVOG,523 Buchanan Dr ,Dauphin Island,AL,36528,Talent representative
125814.86,Princess Theatre Center for the Performing Arts - SVOG,112 2nd AVE NE ,Decatur,AL,35601,Live performing arts organization operator
40000.00,Pyramid Gang Entertainment - SVOG,1219 Moulton ST SE ,Decatur,AL,35601,Talent representative
14213.70,Space night club of dothan - SVOG,4129 ross clark circle ,Dothan,AL,36303,Live venue operator or promoter
1752555.88,"Clark Theatres, Inc. - SVOG",100 New Centre Drive ,Enterprise,AL,36330,Motion picture theater operator
120261.35,"Southern Broadway Theater Company, LLC - SVOG",104 North Main Street ,Enterprise,AL,36330,Theatrical producer
